0,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
1,stop,lying,world.\,\n\,china,lie,,,,,,,,,,,,
2,spoke,tunisian,prime,minister,today,express,outrage,terrorist,attack,last,week,send\u2026,,,,,,
3,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
4,dumb,realized,today,friday,13th\ud83e\udd26\ud83c\udffe\u200d\u2640\ufe0f,i\u2019m,damn,tired,goodnight\ud83d\ude2d\ud83d\udc80,,,,,,,,,
5,shit,got,tat,today,,,,,,,,,,,,,,
6,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
7,cry,\nbecause,real,battle,begin,today,\n\nwho,fight,season,\n\n,kahaanhumka\u2026,,,,,,,
8,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
9,dude,look,like,scabbers,harry,potter,,,,,,,,,,,,
10,fuck,gon,grab,today,said,nah,,,,,,,,,,,,
11,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
12,gon,vote,incoherent,man,run,...,another,incoherent,man,hate,y\u2019all,,,,,,,
13,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
14,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
15,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
16,ridiculous,chump,news,conference,today,,,,,,,,,,,,,
17,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
18,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
19,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
20,crazy,shit,today,30donation,need,help,deciding,hit,sub,much,lo\u202\/\/t.co\/patd0mv4sq,,,,,,,
21,lying,h03\ud83d\ude2d\ud83d\ude2d,,,,,,,,,,,,,,,,
22,think,last,tweet,coronavirusoutbreak\n\ni,furious,how\u2026,,,,,,,,,,,,
23,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
24,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
25,day,ago,treacherousdonnie,screaming,virus,political,hoax,des\u202\/\/t.co\/l7vzwgmgfo,,,,,,,,,,
26,aldi,bout,look,tomar,,,,,,,,,,,,,,
27,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
28,something,bout,today,mann,,,,,,,,,,,,,,
29,dirait,l\u2019attaque,ultime,black,adam,dans,injustice,,,,,,,,,,,
30,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
31,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
32,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
33,pioneering,lie,...,\n\n\/\/t.co\/0seylgsj7y,,,,,,,,,,,,,,
34,want,complain,worked,1hours,today,realized,cooked,mini,doughnut,1hours,got,paid,,,,,,
35,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
36,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
37,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
38,know,damn,well,made,,,,,,,,,,,,,,
39,document,needed,npr,\n\nthe,made,arrogant,declaration,regarding,caa_nrc_npr,,,,,,,,,
40,update,didn\u2019t,get,stabbed,\nfeeling,disappointed,,,,,,,,,,,,
41,today,friday,13th,say,i\u2019m,extremely,upset,didn\u2019t,hear,friday,13th,spooky,joke,a\u202\/\/t.co\/xoxupusv5m,,,,
42,got,led,hard,shoe,palace,today,...,shit,hued,iykyk,,,,,,,,
43,didn\u2019t,gym,today,i\u2019m,bout,run,day,13\/3of,10pushups,,,,,,,,,
44,bcn,today,\ud83c\uddea\ud83c\uddf8\ud83c\udf8who,smash,\ud83e\udd1gimme,name,shout,you\u2019re,hungry,dick,\ud83d\udcf9\n\nfor,vid,with\u2026,,,,,
45,cry,\nbecause,real,battle,begin,today,\n\nwho,fight,season,\n\n,kahaanhumka\u2026,,,,,,,
46,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
47,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
48,father,died,suicide,1years,ago,today,time,angry,world,,,,,,,,,
49,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,\/\/t.co\/cmkljousxi,,,,,,,,,
50,n't,need,shit,big,someone,else,up\n\nthis,n't,race,\na,competition\nnone,that.\n\nyou,great,at\u2026,,,,
51,disgrace,,,,,,,,,,,,,,,,,
52,say,martial,law,minemenudo,ampota,alam,naman,naming,yun,ang,gusto,nyo.\n\nuntil,today,gov't,presented,mi\u2026,,
53,proof,positive,freeland,lie,teeth,video,today,canadian,unbelievable,liar,liberals\u2026,,,,,,,
54,00:4am,36.8f,gust,0.0mph,today,rain,0.00in,last,hour,0.00in,storm,total,0.32in,month,1.47in,year,8.49in,wdisplay
55,hell,got,kobe,auto,1\/diggs,auto,well,got,pretty,dope,shit,got,raped\u202\/\/t.co\/ddcf0rxe5v,,,,,
56,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
57,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
58,mama,didn\u2019t,tell,fib,tho,,,,,,,,,,,,,
59,released,hot,bareback,fucking,video,randy,angelo,today,\/\/t.co\/gwycanrf9p,\/\/t.co\/nuf\u2026,,,,,,,,
60,today,arguing,keep,fighting,\/\/t.co\/b8b0sclfwh,,,,,,,,,,,,,
61,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
62,wolf,city,think,find,something,better,find,nothing,destruction,,,,,,,,,
63,bruh,hit,70followers,today,'re,already,750,y'all,thank,guy,much,,,,,,,
64,today,arguing,keep,fighting,\/\/t.co\/b8b0sclfwh,,,,,,,,,,,,,
65,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
66,still,cant,believe,shit,today,gave,right,\/\/t.co\/ctdfsf4y2h,,,,,,,,,,
67,see,hot,tub,trailer,today,,,,,,,,,,,,,
68,one,client,parked,front,clinic,hot,boxing,,,,,,,,,,,
69,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
70,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
71,damn,black,lmaooooooo,,,,,,,,,,,,,,,
72,shit,reminded,oomf,facetimed,today,looking,fine,,,,,,,,,,,
73,retweet,everyone,allow,get,away,lie,uttered,tod\u202\/\/t.co\/w08lva6dr4,,,,,,,,,,
74,thank,much,everyone,today,positivity,guy,gal,amazing,battle,so\u202\/\/t.co\/c6oj9mhklc,,,,,,,,
75,shit,gon,heavyyyy,,,,,,,,,,,,,,,
76,basically,looked,hot,today,nothing,still,nimb,driving,hour,straight,,,,,,,,
77,late,return,god\n\nmany,people,deceived,still,following,christ,fact,they\u202\/\/t.co\/ibwaumzwws,,,,,,,,
78,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
79,fuck,today,today,shit,day,,,,,,,,,,,,,
80,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
81,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
82,get,image,head.\n\ni,thinking,kavanaugh\u2019s,male,rage,amp,entitlement,2018.,thinking,mc\u2026,,,,,,
83,get,image,head.\n\ni,thinking,kavanaugh\u2019s,male,rage,amp,entitlement,2018.,thinking,mc\u2026,,,,,,
84,today,learned,pawg,'ve,told,'ve,drawn,one,blame,boomer,old,h\u2026,,,,,,
85,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
86,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
87,mannnn,said,shit,nigga,today,like,y'all,like,this\ud83d\udc80,,,,,,,,,
88,absolutely,uncharted,territory,don\u2019t,blame,today\u2019s,blooper\u2026,,,,,,,,,,,
89,friday,night,smack,crowd,fuck,wrong,world,today,people,fucked,,,,,,,,
90,damned,3oct,name,first,trending,accusation,...,came,back,today,getting,place,to\u2026,,,,,
91,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
92,discord,,,,,,,,,,,,,,,,,
93,today,ridiculous,manually,pulling,one,canine,pair,plier,would,preferable.\u202\/\/t.co\/k2ato0xjtt,,,,,,,,
94,hoax,day,medium,lie,corona,virus,confirmed,fox,news.\n\nthis,lie,,,,,,,,
95,psa,got,fookin,day,drunk,today,turning,plain,wasted,goodbye,,,,,,,,
96,i\u2019m,sorry,can\u2019t,fangirl,today,country,diving,shit,hole,history,repeating,i\u2019m,frustrated,,,,,
97,\u201caw,shit,ugh,wow.\u201d,\ud83e\udd23\ud83e\udd23\nif,that\u2019s,whitest,reaction,falling,fucking,roof,\u2620\ufe0f,,,,,,
98,****attention\n\nso,source,sent,sidheart,convo,\n\nthey,planing,dislike,video,\nsid,sana,sh\u2026,,,,,,
99,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
100,they\u2019re,jealous,well,trump,stepped,today,blew,mind,they\u2019re,deranged,usual,,,,,,,
101,burmese,myanmar,soldier,recklessly,shot,tin-nyo,hospital,mruak-oo,tsp,arakan,today,hot,landmine,the\u2026,,,,
102,today,terrible,day,discord,,,,,,,,,,,,,,
103,\u201cma,come,get,me\u201d,hit,little,different,today,staed,cry,\ud83d\udc94\ud83e\udd7a,,,,,,,
104,make,upset,country,went,walma,today,disaster,hoping,to\u202\/\/t.co\/aerdngvgob,,,,,,,,,
105,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
106,please,comment,vlive,today,that\u2019s,totally,line,unfair,,,,,,,,,,
107,like,listening,shit,\ud83d\ude02,,,,,,,,,,,,,,
108,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
109,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
110,stop,lying,world.\,\n\,china,lie,,,,,,,,,,,,
111,spoke,tunisian,prime,minister,today,express,outrage,terrorist,attack,last,week,send\u2026,,,,,,
112,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
113,dumb,realized,today,friday,13th\ud83e\udd26\ud83c\udffe\u200d\u2640\ufe0f,i\u2019m,damn,tired,goodnight\ud83d\ude2d\ud83d\udc80,,,,,,,,,
114,shit,got,tat,today,,,,,,,,,,,,,,
115,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
116,cry,\nbecause,real,battle,begin,today,\n\nwho,fight,season,\n\n,kahaanhumka\u2026,,,,,,,
117,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
118,dude,look,like,scabbers,harry,potter,,,,,,,,,,,,
119,fuck,gon,grab,today,said,nah,,,,,,,,,,,,
120,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
121,gon,vote,incoherent,man,run,...,another,incoherent,man,hate,y\u2019all,,,,,,,
122,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
123,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
124,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
125,ridiculous,chump,news,conference,today,,,,,,,,,,,,,
126,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
127,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
128,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
129,crazy,shit,today,30donation,need,help,deciding,hit,sub,much,lo\u202\/\/t.co\/patd0mv4sq,,,,,,,
130,lying,h03\ud83d\ude2d\ud83d\ude2d,,,,,,,,,,,,,,,,
131,think,last,tweet,coronavirusoutbreak\n\ni,furious,how\u2026,,,,,,,,,,,,
132,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
133,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
134,day,ago,treacherousdonnie,screaming,virus,political,hoax,des\u202\/\/t.co\/l7vzwgmgfo,,,,,,,,,,
135,aldi,bout,look,tomar,,,,,,,,,,,,,,
136,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
137,something,bout,today,mann,,,,,,,,,,,,,,
138,dirait,l\u2019attaque,ultime,black,adam,dans,injustice,,,,,,,,,,,
139,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
140,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
141,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
142,pioneering,lie,...,\n\n\/\/t.co\/0seylgsj7y,,,,,,,,,,,,,,
143,want,complain,worked,1hours,today,realized,cooked,mini,doughnut,1hours,got,paid,,,,,,
144,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
145,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
146,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
147,know,damn,well,made,,,,,,,,,,,,,,
148,document,needed,npr,\n\nthe,made,arrogant,declaration,regarding,caa_nrc_npr,,,,,,,,,
149,update,didn\u2019t,get,stabbed,\nfeeling,disappointed,,,,,,,,,,,,
150,today,friday,13th,say,i\u2019m,extremely,upset,didn\u2019t,hear,friday,13th,spooky,joke,a\u202\/\/t.co\/xoxupusv5m,,,,
151,got,led,hard,shoe,palace,today,...,shit,hued,iykyk,,,,,,,,
152,didn\u2019t,gym,today,i\u2019m,bout,run,day,13\/3of,10pushups,,,,,,,,,
153,bcn,today,\ud83c\uddea\ud83c\uddf8\ud83c\udf8who,smash,\ud83e\udd1gimme,name,shout,you\u2019re,hungry,dick,\ud83d\udcf9\n\nfor,vid,with\u2026,,,,,
154,cry,\nbecause,real,battle,begin,today,\n\nwho,fight,season,\n\n,kahaanhumka\u2026,,,,,,,
155,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
156,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
157,father,died,suicide,1years,ago,today,time,angry,world,,,,,,,,,
158,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,\/\/t.co\/cmkljousxi,,,,,,,,,
159,n't,need,shit,big,someone,else,up\n\nthis,n't,race,\na,competition\nnone,that.\n\nyou,great,at\u2026,,,,
160,disgrace,,,,,,,,,,,,,,,,,
161,say,martial,law,minemenudo,ampota,alam,naman,naming,yun,ang,gusto,nyo.\n\nuntil,today,gov't,presented,mi\u2026,,
162,proof,positive,freeland,lie,teeth,video,today,canadian,unbelievable,liar,liberals\u2026,,,,,,,
163,00:4am,36.8f,gust,0.0mph,today,rain,0.00in,last,hour,0.00in,storm,total,0.32in,month,1.47in,year,8.49in,wdisplay
164,hell,got,kobe,auto,1\/diggs,auto,well,got,pretty,dope,shit,got,raped\u202\/\/t.co\/ddcf0rxe5v,,,,,
165,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
166,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
167,mama,didn\u2019t,tell,fib,tho,,,,,,,,,,,,,
168,released,hot,bareback,fucking,video,randy,angelo,today,\/\/t.co\/gwycanrf9p,\/\/t.co\/nuf\u2026,,,,,,,,
169,today,arguing,keep,fighting,\/\/t.co\/b8b0sclfwh,,,,,,,,,,,,,
170,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
171,wolf,city,think,find,something,better,find,nothing,destruction,,,,,,,,,
172,bruh,hit,70followers,today,'re,already,750,y'all,thank,guy,much,,,,,,,
173,today,arguing,keep,fighting,\/\/t.co\/b8b0sclfwh,,,,,,,,,,,,,
174,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
175,still,cant,believe,shit,today,gave,right,\/\/t.co\/ctdfsf4y2h,,,,,,,,,,
176,see,hot,tub,trailer,today,,,,,,,,,,,,,
177,one,client,parked,front,clinic,hot,boxing,,,,,,,,,,,
178,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
179,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
180,damn,black,lmaooooooo,,,,,,,,,,,,,,,
181,shit,reminded,oomf,facetimed,today,looking,fine,,,,,,,,,,,
182,retweet,everyone,allow,get,away,lie,uttered,tod\u202\/\/t.co\/w08lva6dr4,,,,,,,,,,
183,thank,much,everyone,today,positivity,guy,gal,amazing,battle,so\u202\/\/t.co\/c6oj9mhklc,,,,,,,,
184,shit,gon,heavyyyy,,,,,,,,,,,,,,,
185,basically,looked,hot,today,nothing,still,nimb,driving,hour,straight,,,,,,,,
186,late,return,god\n\nmany,people,deceived,still,following,christ,fact,they\u202\/\/t.co\/ibwaumzwws,,,,,,,,
187,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
188,fuck,today,today,shit,day,,,,,,,,,,,,,
189,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
190,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
191,get,image,head.\n\ni,thinking,kavanaugh\u2019s,male,rage,amp,entitlement,2018.,thinking,mc\u2026,,,,,,
192,get,image,head.\n\ni,thinking,kavanaugh\u2019s,male,rage,amp,entitlement,2018.,thinking,mc\u2026,,,,,,
193,today,learned,pawg,'ve,told,'ve,drawn,one,blame,boomer,old,h\u2026,,,,,,
194,sucker,punch,greatest,boxer,world,knock,down.\n\nbut,better,hope,like,hell,doe,n't,get,up.\u2026,,,
195,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
196,mannnn,said,shit,nigga,today,like,y'all,like,this\ud83d\udc80,,,,,,,,,
197,absolutely,uncharted,territory,don\u2019t,blame,today\u2019s,blooper\u2026,,,,,,,,,,,
198,friday,night,smack,crowd,fuck,wrong,world,today,people,fucked,,,,,,,,
199,damned,3oct,name,first,trending,accusation,...,came,back,today,getting,place,to\u2026,,,,,
200,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
201,discord,,,,,,,,,,,,,,,,,
202,today,ridiculous,manually,pulling,one,canine,pair,plier,would,preferable.\u202\/\/t.co\/k2ato0xjtt,,,,,,,,
203,hoax,day,medium,lie,corona,virus,confirmed,fox,news.\n\nthis,lie,,,,,,,,
204,psa,got,fookin,day,drunk,today,turning,plain,wasted,goodbye,,,,,,,,
205,i\u2019m,sorry,can\u2019t,fangirl,today,country,diving,shit,hole,history,repeating,i\u2019m,frustrated,,,,,
206,\u201caw,shit,ugh,wow.\u201d,\ud83e\udd23\ud83e\udd23\nif,that\u2019s,whitest,reaction,falling,fucking,roof,\u2620\ufe0f,,,,,,
207,****attention\n\nso,source,sent,sidheart,convo,\n\nthey,planing,dislike,video,\nsid,sana,sh\u2026,,,,,,
208,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
209,they\u2019re,jealous,well,trump,stepped,today,blew,mind,they\u2019re,deranged,usual,,,,,,,
210,burmese,myanmar,soldier,recklessly,shot,tin-nyo,hospital,mruak-oo,tsp,arakan,today,hot,landmine,the\u2026,,,,
211,today,terrible,day,discord,,,,,,,,,,,,,,
212,\u201cma,come,get,me\u201d,hit,little,different,today,staed,cry,\ud83d\udc94\ud83e\udd7a,,,,,,,
213,make,upset,country,went,walma,today,disaster,hoping,to\u202\/\/t.co\/aerdngvgob,,,,,,,,,
214,call,representative,today,demand,pas,familiesfirst,coronavirus,bill,contains,\n\n-,free,testing\u2026,,,,,,
215,please,comment,vlive,today,that\u2019s,totally,line,unfair,,,,,,,,,,
216,like,listening,shit,\ud83d\ude02,,,,,,,,,,,,,,
217,muzlim,pilgrim,brought,back,govt,accused,unfair,muzlims,,,,,,,,,,
