_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ask_question_here,ask_question_here:confidence,can_you_understand_the_text_through_these_key_words_and_emoticon,can_you_understand_the_text_through_these_key_words_and_emoticon:confidence,does_the_data_is_clean,does_the_data_is_clean:variance,only_one_emotion_expressed_in_these_key_word_right,only_one_emotion_expressed_in_these_key_word_right:confidence,please_choose_an_emotion_expressed_by_the_following_key_words,please_choose_an_emotion_expressed_by_the_following_key_words:confidence,angry,read_the_key_word_and_emoticon_to_identify_the_emotion_of_the_user_:confidence,can_you_understand_the_text_through_these_key_words_and_emoticon_gold,does_the_data_is_clean_gold,key_word_1,key_word_10,key_word_11,key_word_12,key_word_13,key_word_14,key_word_15,key_word_16,key_word_17,key_word_18,key_word_2,key_word_3,key_word_4,key_word_5,key_word_6,key_word_7,key_word_8,key_word_9,numbei,only_one_emotion_expressed_in_these_key_word_right_gold,read_the_key_word_and_emoticon_to_identify_the_emotion_of_the_user__gold
2691254189,FALSE,finalized,3,3/18/2020 03:20:27,,,yes,1,3.33,0.471,no,0.6971,,,happy,0.6164,,,\u201cthe,jack,donating,500,,,,,,,pandemic,face,today,longer,resolved,individual,country.\u201d\n\nchinese,billionaire,16,,
2691254190,FALSE,finalized,3,3/18/2020 01:14:33,,,,,0,0,,,4,0.4523,happy,,,,believe,,,,,,,,,,make,west,virginia,state,without,reported,case,\/\/t.co\/wrpibcoa74,17,,
2691254191,FALSE,finalized,3,3/18/2020 01:14:33,,,,,0,0,,,4,0.4523,happy,,,,hospital,federal,government.\n\nwe,ha\u2026,,,,,,,tried,order,ventilators.\nthe,funding,said,ventilator,got,denied,18,,
2691254192,FALSE,finalized,3,3/18/2020 03:21:01,,,yes,0.5301,2.33,1.7,yes,0.5301,5,1,happy,0.5301,,,today,\/\/t.co\/7yq1ugwdsj,,,,,,,,,bankrupt,govt,increased,excise,duty,petrol,diesel,rs.each.\n,19,,
2691254193,FALSE,finalized,3,3/18/2020 02:48:10,,,no,1,0.67,0.471,yes,0.5313,2,1,happy,0.5313,,,amp,,,,,,,,,,dance,vaathistepu,totally,unmissable,\ud83d\ude0e\ud83d\udc83\n\ncheck,\ud83d\udca5\n\n,vaathic\u2026,,0,,
2691254194,FALSE,finalized,3,3/18/2020 02:27:26,,,no,0.6671,3,1.414,yes,0.7273,,,happy,0.6056,,,found,,,,,,,,,,today,dog,,,,,,,1,,
2691254195,FALSE,finalized,3,3/18/2020 04:17:37,,,yes,1,3,0.816,yes,1,,,happy,0.3739,,,found,,,,,,,,,,today,dog,,,,,,,2,,
2691254196,FALSE,finalized,3,3/18/2020 02:46:15,,,yes,1,2.33,1.7,yes,1,2,1,happy,1,,,found,,,,,,,,,,today,dog,,,,,,,3,,
2691254197,FALSE,finalized,3,3/18/2020 01:50:29,,,,,0,0,,,5,0.3914,happy,,,,today,,,,,,,,,,year,old,found,season,allergy,,,,4,,
2691254198,FALSE,finalized,3,3/18/2020 02:27:26,,,yes,0.7273,3,0.816,yes,1,,,happy,0.6671,,,feel,40a,day.\n\nthree,year,ago,wishe\u2026,,,,,blessed,year,ago,took,week,make,40and,make,5,,
2691254199,FALSE,finalized,3,3/18/2020 03:21:01,,,yes,1,1.33,1.886,yes,1,5,0.5832,happy,1,,,please,sarah,black,pray\u2026,,,,,,,prayer,baby,sister,missing,since,'re,durham,name,6,,
2691254200,FALSE,finalized,3,3/18/2020 02:49:37,,,yes,0.7018,2.33,0.471,yes,0.7018,,,happy,0.6116,,,\u2066\u206look,i\u2026,,,,,,,,,wife,found,sobey\u2019s,sydney,today,thing,set,lockdown,7,,
2691254201,FALSE,finalized,3,3/18/2020 03:18:30,,,yes,1,1.33,1.247,yes,1,3,1,happy,0.5141,,,today,\n\n,whyrutheseries,zaintsee,,,,,,,'re,shooting,beach,scene,beach,\n\nnew,scene,\ud83d\ude31\ud83d\ude31\n\nbring,8,,
2691254202,FALSE,finalized,3,3/18/2020 03:20:00,,,yes,1,2.33,0.471,yes,0.6232,,,happy,0.6232,,,hate,week,ago,today,d\u00e9jenme,paz,\ud83d\ude12,,,,people,ask,i\u2019m,wearing,faja,...,like,baby,9,,
2691254203,FALSE,finalized,3,3/18/2020 02:46:15,,,no,0.5092,1.33,1.247,yes,1,2,1,pleasant,0.5092,,,today,,,,,,,,,,lost,friend,hand,death.\n\nhe,died,sleep,\ud83d\ude2a\ud83d\ude29,,10,,
2691254204,FALSE,finalized,3,3/18/2020 03:21:12,,,yes,0.6269,2,0,yes,0.6269,,,pleasant,0.3731,,,today,,,,,,,,,,terrible,man,besides,music,,,,,11,,
2691254205,FALSE,finalized,3,3/18/2020 03:54:02,,,yes,1,3,0,yes,1,,,pleasant,1,,,found,,,,,,,,,,today,dog,,,,,,,12,,
2691254206,FALSE,finalized,3,3/18/2020 03:17:46,,,yes,0.6787,2.67,0.943,yes,1,,,pleasant,0.3792,,,boomer,coming,noon,wild,bro,,,,,,friend,wild,told,friend,come,chill,today,tell,13,,
2691254207,FALSE,finalized,3,3/18/2020 04:18:06,,,yes,1,2.33,1.7,yes,0.5111,2,0,pleasant,0.5111,,,love,,,,,,,,,,thank,\ud83d\udc99,,,,,,,14,,
2691254208,FALSE,finalized,3,3/18/2020 02:51:04,,,yes,0.5426,2,1.414,yes,0.5426,2,1,pleasant,0.5426,,,found,,,,,,,,,,today,dog,,,,,,,15,,
2691254209,FALSE,finalized,3,3/18/2020 04:18:06,,,yes,0.5431,1.33,0.943,yes,1,2,0,pleasant,0.5431,,,today,,,,,,,,,,child,asked,\u201cam,going,die,\u201d,friend,asked,16,,
2691254210,FALSE,finalized,3,3/18/2020 03:50:45,,,yes,1,2.33,1.7,yes,1,4,1,pleasant,0.5267,,,please,sarah,black,pray\u2026,,,,,,,prayer,baby,sister,missing,since,'re,durham,name,17,,
2691254211,FALSE,finalized,3,3/18/2020 02:20:25,,,yes,1,1,1.414,no,1,2,1,pleasant,1,,,decided,\/\/t.co\/jstxnv2dxx,,,,,,,,,switch,amp,red,enchilada,instead,green,today,\ud83d\ude0b,18,,
2691254212,FALSE,finalized,3,3/18/2020 02:23:34,,,no,0.5556,1.33,0.943,yes,0.5556,1,1,pleasant,1,,,lol,isi,\/\/t.co\/ewreo1kgkv,,,,,,,,hobby,lobby,guy,basically,bought,dime,bag,oregano,19,,
2691254213,FALSE,finalized,3,3/18/2020 02:48:10,,,no,1,0.67,0.943,yes,1,1,1,pleasant,1,,,\ud83d\udcaf,help,different,,,,,,,,exhausted,really,tough,clinic,today,call,amp,police,0,,
2691254214,FALSE,finalized,3,3/18/2020 04:18:06,,,yes,0.5431,1.33,0.943,yes,1,2,0,pleasant,0.5431,,,trudeau,shanghai,,,,,,,,,refuse,cancel,direct,flight,china,today,plane,landed,1,,
2691254215,FALSE,finalized,3,3/18/2020 03:46:35,,,yes,1,2.67,0.471,yes,1,,,pleasant,0.3535,,,video,coor\u2026,,,,,,,,,question,today,administration,disbanding,white,house,team,responsible,2,,
2691254216,FALSE,finalized,3,3/18/2020 02:53:47,,,yes,0.7668,2.67,0.471,no,0.6552,,,pleasant,0.422,,,amp,,,,,,,,,,please,immediately,clarify,alberta,1day,paid,job-protected,covid-1re\u2026,3,,
2691254217,FALSE,finalized,3,3/18/2020 02:51:04,,,yes,1,2,1.633,yes,1,1,1,pleasant,0.5426,,,swift,india,can\u2026,,,,,,,,action,telecom,ministry,leadership,enable,workfromhome,ites,firm,4,,
2691254218,FALSE,finalized,3,3/18/2020 02:46:33,,,yes,1,3.33,0.471,yes,0.66,,,pleasant,0.68,,,thank,,,,,,,,,,everyone,reached,today,extremely,blessed,coach,community,coach,5,,
2691254219,FALSE,finalized,3,3/18/2020 03:50:45,,,yes,1,2,1.414,yes,1,4,1,pleasant,0.5267,,,major,,,,,,,,,,news,today,kpop,star,wonho,,,,6,,
2691254220,FALSE,finalized,3,3/18/2020 03:17:08,,,no,0.5016,1.33,0.943,yes,1,2,1,pleasant,1,,,math,,,,,,,,,,full,battery,coronavirus,testing,cost,minimum,,,7,,
2691254221,FALSE,finalized,3,3/18/2020 03:50:45,,,yes,1,2,1.633,yes,1,2,1,pleasant,0.5108,,,sxsw,feature-length,film,programmed,in\u2026,,,,,,would,started,today,\n\nwe,'ve,created,comprehensive,list,8,,
2691254222,FALSE,finalized,3,3/18/2020 02:48:10,,,no,1,0.67,0.943,no,1,2,0.5132,pleasant,1,,,today,,,,,,,,,,found,nando\u2019s,typeface,created,black,sign,writer,artist,9,,
2691254223,FALSE,finalized,3,3/18/2020 03:46:35,,,yes,0.5191,1.67,1.247,yes,0.5191,2,1,pleasant,0.5191,,,interesting,,,,,,,,,,chinese,person,would,help,american,y\u2019all,fucking,asshole,10,,
2691254224,FALSE,finalized,3,3/18/2020 03:21:01,,,yes,0.6904,3,0.816,yes,0.6904,,,pleasant,0.6588,,,\u203c\ufe0f,,,,,,,,,,attention,monbebes,\u203c\ufe0f\nwe,celebrating,anti,hole,fuming,,11,,
2691254225,FALSE,finalized,3,3/18/2020 02:23:34,,,yes,1,1,1.414,no,1,2,1,pleasant,0.5618,,,today,person,hasn\u2019t,paid,the\u2026,,,,,,asked,department,public,service,direct,utility,cut,service,12,,
2691254226,FALSE,finalized,3,3/18/2020 03:21:01,,,no,1,1.33,1.886,yes,1,2,0.5403,pleasant,1,,,bts,today,live,text,voting,part,final,score,,,'on,may,nominated,1st,place,music,core,later,13,,
2691254227,FALSE,finalized,3,3/18/2020 02:27:26,,,yes,0.7273,2,0.816,yes,0.7273,,,pleasant,0.6056,,,electricity,,,,,,,,,,,,,,,,,,14,,
2691254228,FALSE,finalized,3,3/18/2020 04:18:06,,,yes,0.5431,1.67,1.247,yes,1,2,0,pleasant,0.5431,,,worth,,,,,,,,,,repeating,indeed,2018,,,,,,15,,
2691254229,FALSE,finalized,3,3/18/2020 02:23:34,,,no,0.5545,2.33,0.471,yes,0.7536,,,pleasant,1,,,lose,welcomed,4cats,street,,,,,,,cat,try,honor,memory,saving,cats\nso,also,today,16,,
2691254230,FALSE,finalized,3,3/18/2020 03:20:00,,,yes,1,2,1.633,yes,0.5203,1,1,read_the_key_word_and_emoticon_to_identify_the_emotion_of_the_user_,0.5203,,,someone\u2019s,,,,,,,,,,uninstalling,warzone,today,\ud83e\udd23\n\n,credit,u\/ky2391,\/\/t.co\/uxgfaznel5,,17,,
2691254231,FALSE,finalized,3,3/18/2020 04:18:06,,,yes,1,2,1.414,yes,1,2,0,surprise,0.5241,,,today,,,,,,,,,,found,nando\u2019s,typeface,created,black,sign,writer,artist,18,,
2691254232,FALSE,finalized,3,3/18/2020 02:23:34,,,yes,1,1.33,1.886,no,1,2,1,surprise,1,,,european,,,,,,,,,,union,withstand,shock,caused,covid19,need,determined,,19,,
2691254233,FALSE,finalized,3,3/18/2020 03:18:24,,,yes,0.6988,2,0.816,yes,0.6988,,,surprise,0.3862,,,today,,,,,,,,,,violent,anima,,,,,,,0,,
2691254234,FALSE,finalized,3,3/18/2020 03:22:11,,,yes,0.6976,3,0,yes,1,,,surprise,0.3497,,,'why,'infomercial,press,conferen\u2026,,,,,,,shaking,hand,trump,break,coronavirus,rule,parade,ceo,1,,
2691254235,FALSE,finalized,3,3/18/2020 03:25:31,,,yes,0.5921,2.33,1.247,yes,0.6995,,,surprise,0.7085,,,really,,,,,,,,,,outrageous,senate,recessed,weekend,middle,pandemic,house,set\u2026,2,,
2691254236,FALSE,finalized,3,3/18/2020 03:22:11,,,yes,0.6503,3.33,0.943,yes,1,,,surprise,0.3497,,,sad,missed.\n,ripliltecca,rip,legend,,,,,,hear,lil,tecca,passed,away,car,accident,today,3,,
2691254237,FALSE,finalized,3,3/18/2020 04:18:26,,,yes,0.6514,2,0,yes,1,,,surprise,0.3486,,,unreleased,wanted,swap,beat,en\u2026,,,,,,visual,original,version,\u201cmpr\u201d,pop,smoke,pop,reportedly,4,,
2691254238,FALSE,finalized,3,3/18/2020 03:25:31,,,yes,0.5921,2.33,0.471,yes,1,,,surprise,0.5921,,,bakit,mga,ibang,bansa,america,affo\u202\/\/t.co\/eljbdppnkd,,,,,magdodonate,first-world,country,hindi,ba\u2019t,may,nangangailangan,pang,5,,
2691254239,FALSE,finalized,3,3/18/2020 04:18:26,,,yes,0.6514,1.33,0.471,yes,1,,,surprise,0.3486,,,proof,\n\nq,post,911\u2026,,,,,,,today,held,press,conference,stating,declaring,national,emergency,6,,
2691254240,FALSE,finalized,3,3/18/2020 03:22:11,,,yes,1,2.67,1.247,yes,1,,,surprise,0.6503,,,may,emergency,today,t\u2026,,,,,,,never,forget,especially,poll,guy,declared,coronavirus,national,7,,
2691254241,FALSE,finalized,3,3/18/2020 03:18:24,,,no,0.6874,2,0,no,0.6874,,,surprise,0.6988,,,bizarre,,,,,,,,,,,,,,,,,,8,,
2691254242,FALSE,finalized,3,3/18/2020 04:18:26,,,yes,1,2,0.816,yes,0.6514,,,surprise,0.3486,,,joe,,,,,,,,,,biden,ground,stand,politicizing,coronavirus,attacking,.\n\/\/t.co\/ps7dkduptg,,9,,
2691254243,FALSE,finalized,3,3/18/2020 03:18:24,,,yes,1,1.67,0.471,yes,1,,,surprise,0.6874,,,joe,,,,,,,,,,biden,ground,stand,politicizing,coronavirus,attacking,.\n\/\/t.co\/ps7dkduptg,,10,,
2691254244,FALSE,finalized,3,3/18/2020 03:22:11,,,yes,1,3.67,0.471,yes,0.6976,,,surprise,1,,,honestly,pink,slip,today,please,help,one,another,,,don\u2019t,think,wrap,head,around,many,people,getting,11,,
2691254245,FALSE,finalized,3,3/18/2020 03:25:31,,,yes,0.7085,2.33,1.247,yes,1,,,surprise,0.5921,,,know,today,snack,fucked,already,,,,,,can\u2019t,house,able,leave,done,ate,meal,peep,12,,
2691254246,FALSE,finalized,3,3/18/2020 04:18:26,,,yes,0.6514,2,0.816,yes,1,,,surprise,0.6867,,,bizarre,,,,,,,,,,,,,,,,,,13,,
2691254247,FALSE,finalized,3,3/18/2020 03:25:31,,,yes,0.5921,2.67,0.471,yes,0.6995,,,surprise,0.4079,,,season,\/\/t.co\/jdzvo1xpqd,,,,,,,,,thekingdomnetflix,thekingdompremiered,today,guess,i\u2019m,watching,weekend,\ud83e\udddf\u200d\u2642\ufe0f\u2694\ufe0f\ud83e\udddf\u200d\u2640\ufe0f,14,,
2691254248,FALSE,finalized,3,3/18/2020 03:18:24,,,yes,1,1.67,0.471,yes,1,,,,0.6874,,,really,,,,,,,,,,outrageous,senate,recessed,weekend,middle,pandemic,house,set\u2026,15,,
2691254249,FALSE,finalized,3,3/18/2020 03:25:31,,,yes,0.5921,2.67,0.943,yes,0.6995,,,,0.4079,,,donald,today,press,conference,...,.no,...,words.\n\n\/\/\u2026,,,damn,trump,sent,signed,chart,dow,fox,news,16,,
2691254250,FALSE,finalized,3,3/18/2020 04:18:26,,,yes,0.6514,1.67,0.471,yes,1,,,,0.6514,,,may,emergency,today,t\u2026,,,,,,,never,forget,especially,poll,guy,declared,coronavirus,national,17,,
2691254251,FALSE,finalized,3,3/18/2020 03:22:11,,,yes,0.6503,3.33,0.943,yes,1,,,,0.3497,,,unprecedented,,,,,,,,,,day,,,,,,,,18,,
2691254252,FALSE,finalized,3,3/18/2020 03:18:24,,,yes,1,2.67,0.943,yes,1,,,,0.3862,,,bizarre,,,,,,,,,,,,,,,,,,19,,